TRAINER_AARON	dragon_tamer
TRAINER_CATHERINE_3	pokemon_ranger_f
TRAINER_CATHERINE_4	pokemon_ranger_f
TRAINER_CATHERINE_5	pokemon_ranger_f
TRAINER_CEDRIC	psychic_m
TRAINER_CELIA	picnicker
TRAINER_CELINA	aroma_lady
TRAINER_CHAD	swimmer_m
TRAINER_CHANDLER	tuber_m
TRAINER_CHARLIE	tuber_m
TRAINER_CHARLOTTE	picnicker
TRAINER_CHASE	swimming_triathlete_m
TRAINER_CHESTER	bird_keeper
TRAINER_CHIP	ruin_maniac
TRAINER_CHRIS	fisherman
TRAINER_CINDY_1	lady
TRAINER_CINDY_2	lady
TRAINER_CINDY_3	lady
TRAINER_CINDY_4	lady
TRAINER_CINDY_5	lady
TRAINER_CINDY_6	lady
TRAINER_CLARENCE	swimmer_m
TRAINER_CLARISSA	parasol_lady
TRAINER_CLARK	hiker
TRAINER_CLAUDE	fisherman
TRAINER_CLIFFORD	gentleman
TRAINER_COBY	bird_keeper
TRAINER_COLE	kindler
TRAINER_COLIN	bird_keeper
TRAINER_COLTON	pokefan_m
TRAINER_CONNIE	beauty
TRAINER_CONOR	expert_m
TRAINER_CORA	battle_girl
TRAINER_CORY_1	sailor
TRAINER_CORY_2	sailor
TRAINER_CORY_3	sailor
TRAINER_CORY_4	sailor
TRAINER_CORY_5	sailor
TRAINER_CRISSY	lass
TRAINER_CRISTIAN	black_belt
TRAINER_CRISTIN_1	cooltrainer_f
TRAINER_CRISTIN_2	cooltrainer_f
TRAINER_CRISTIN_3	cooltrainer_f
TRAINER_CRISTIN_4	cooltrainer_f
TRAINER_CRISTIN_5	cooltrainer_f
TRAINER_CYNDY_1	battle_girl
TRAINER_CYNDY_2	battle_girl
TRAINER_CYNDY_3	battle_girl
TRAINER_CYNDY_4	battle_girl
TRAINER_CYNDY_5	battle_girl
TRAINER_DAISUKE	black_belt
TRAINER_DAISY	aroma_lady
TRAINER_DALE	fisherman
TRAINER_DALTON_1	guitarist
TRAINER_DALTON_2	guitarist
TRAINER_DALTON_3	guitarist
TRAINER_DALTON_4	guitarist
TRAINER_DALTON_5	guitarist
TRAINER_DANA	swimmer_f
TRAINER_DANIELLE	battle_girl
TRAINER_DAPHNE	lady
TRAINER_DARCY	cooltrainer_f
TRAINER_DARIAN	fisherman
TRAINER_DARIUS	bird_keeper
TRAINER_DARRIN	swimmer_m
TRAINER_DAVID	swimmer_m
TRAINER_DAVIS	bug_catcher
TRAINER_DAWSON	rich_boy
TRAINER_DAYTON	kindler
TRAINER_DEAN	swimmer_m
TRAINER_DEANDRE	youngster
TRAINER_DEBRA	swimmer_f
TRAINER_DECLAN	swimmer_m
TRAINER_DEMETRIUS	youngster
TRAINER_DENISE	swimmer_f
TRAINER_DEREK	bug_maniac
TRAINER_DEVAN	hiker
TRAINER_DEZ_AND_LUKE	young_couple
TRAINER_DIANA_1	picnicker
TRAINER_DIANA_2	picnicker
TRAINER_DIANA_3	picnicker
TRAINER_DIANA_4	picnicker
TRAINER_DIANA_5	picnicker
TRAINER_DIANNE	cooltrainer_f
TRAINER_DILLON	youngster
TRAINER_DOMINIK	swimmer_m
TRAINER_DONALD	bug_maniac
TRAINER_DONNY	swimming_triathlete_f
TRAINER_DOUG	bug_catcher
TRAINER_DOUGLAS	swimmer_m
TRAINER_DRAKE	elite_four_drake
TRAINER_DREW	camper
TRAINER_DUDLEY	swimmer_m
TRAINER_DUNCAN	sailor
TRAINER_DUSTY_1	ruin_maniac
TRAINER_DUSTY_2	ruin_maniac
TRAINER_DUSTY_3	ruin_maniac
TRAINER_DUSTY_4	ruin_maniac
TRAINER_DUSTY_5	ruin_maniac
TRAINER_DWAYNE	sailor
TRAINER_DYLAN_1	running_triathlete_m
TRAINER_DYLAN_2	running_triathlete_m
TRAINER_DYLAN_3	running_triathlete_m
TRAINER_DYLAN_4	running_triathlete_m
TRAINER_DYLAN_5	running_triathlete_m
TRAINER_ED	collector
TRAINER_EDDIE	youngster
TRAINER_EDGAR	cooltrainer_m
TRAINER_EDMOND	sailor
TRAINER_EDWARD	psychic_m
TRAINER_EDWARDO	bird_keeper
TRAINER_EDWIN_1	collector
TRAINER_EDWIN_2	collector
TRAINER_EDWIN_3	collector
TRAINER_EDWIN_4	collector
TRAINER_EDWIN_5	collector
TRAINER_ELI	hiker
TRAINER_ELIJAH	bird_keeper
TRAINER_ELLIOT_1	fisherman
TRAINER_ELLIOT_2	fisherman
TRAINER_ELLIOT_3	fisherman
TRAINER_ELLIOT_4	fisherman
TRAINER_ELLIOT_5	fisherman
TRAINER_ERIC	hiker
TRAINER_ERNEST_1	sailor
TRAINER_ERNEST_2	sailor
TRAINER_ERNEST_3	sailor
TRAINER_ERNEST_4	sailor
TRAINER_ERNEST_5	sailor
TRAINER_ETHAN_1	camper
TRAINER_ETHAN_2	camper
TRAINER_ETHAN_3	camper
TRAINER_ETHAN_4	camper
TRAINER_ETHAN_5	camper
TRAINER_EVERETT	gentleman
TRAINER_FABIAN	guitarist
TRAINER_FELIX	cooltrainer_m
TRAINER_FERNANDO_1	guitarist
TRAINER_FERNANDO_2	guitarist
TRAINER_FERNANDO_3	guitarist
TRAINER_FERNANDO_4	guitarist
TRAINER_FERNANDO_5	guitarist
TRAINER_FLANNERY_1	leader_flannery
TRAINER_FLANNERY_2	leader_flannery
TRAINER_FLANNERY_3	leader_flannery
TRAINER_FLANNERY_4	leader_flannery
TRAINER_FLANNERY_5	leader_flannery
TRAINER_FLINT	camper
TRAINER_FOSTER	ruin_maniac
TRAINER_FRANKLIN	swimmer_m
TRAINER_FREDRICK	expert_m
TRAINER_GABBY_AND_TY_1	interviewer
TRAINER_GABBY_AND_TY_2	interviewer
TRAINER_GABBY_AND_TY_3	interviewer
TRAINER_GABBY_AND_TY_4	interviewer
TRAINER_GABBY_AND_TY_5	interviewer
TRAINER_GABBY_AND_TY_6	interviewer
TRAINER_GABRIELLE_1	pokemon_breeder_f
TRAINER_GABRIELLE_2	pokemon_breeder_f
TRAINER_GABRIELLE_3	pokemon_breeder_f
TRAINER_GABRIELLE_4	pokemon_breeder_f
TRAINER_GABRIELLE_5	pokemon_breeder_f
TRAINER_GARRET	rich_boy
TRAINER_GARRISON	ruin_maniac
TRAINER_GEORGE	cooltrainer_m
TRAINER_GEORGIA	school_kid_f
TRAINER_GERALD	cooltrainer_m
TRAINER_GILBERT	swimmer_m
TRAINER_GINA_AND_MIA_1	twins
TRAINER_GINA_AND_MIA_2	twins
TRAINER_GLACIA	elite_four_glacia
TRAINER_GRACE	swimmer_f
TRAINER_GREG	bug_catcher
TRAINER_GRETA	arena_tycoon_greta
TRAINER_GRUNT_AQUA_HIDEOUT_1	aqua_grunt_m
TRAINER_GRUNT_AQUA_HIDEOUT_2	aqua_grunt_m
TRAINER_GRUNT_AQUA_HIDEOUT_3	aqua_grunt_m
TRAINER_GRUNT_AQUA_HIDEOUT_4	aqua_grunt_m
TRAINER_GRUNT_AQUA_HIDEOUT_5	aqua_grunt_f
TRAINER_GRUNT_AQUA_HIDEOUT_6	aqua_grunt_f
TRAINER_GRUNT_AQUA_HIDEOUT_7	aqua_grunt_f
TRAINER_GRUNT_AQUA_HIDEOUT_8	aqua_grunt_m
TRAINER_GRUNT_JAGGED_PASS	magma_grunt_m
TRAINER_GRUNT_MAGMA_HIDEOUT_1	magma_grunt_m
TRAINER_GRUNT_MAGMA_HIDEOUT_10	magma_grunt_m
TRAINER_GRUNT_MAGMA_HIDEOUT_11	magma_grunt_m
TRAINER_GRUNT_MAGMA_HIDEOUT_12	magma_grunt_m
TRAINER_GRUNT_MAGMA_HIDEOUT_13	magma_grunt_m
TRAINER_GRUNT_MAGMA_HIDEOUT_14	magma_grunt_f
TRAINER_GRUNT_MAGMA_HIDEOUT_15	magma_grunt_f
TRAINER_GRUNT_MAGMA_HIDEOUT_16	magma_grunt_f
TRAINER_GRUNT_MAGMA_HIDEOUT_2	magma_grunt_m
TRAINER_GRUNT_MAGMA_HIDEOUT_3	magma_grunt_m
TRAINER_GRUNT_MAGMA_HIDEOUT_4	magma_grunt_m
TRAINER_GRUNT_MAGMA_HIDEOUT_5	magma_grunt_m
TRAINER_GRUNT_MAGMA_HIDEOUT_6	magma_grunt_m
TRAINER_GRUNT_MAGMA_HIDEOUT_7	magma_grunt_m
TRAINER_GRUNT_MAGMA_HIDEOUT_8	magma_grunt_m
TRAINER_GRUNT_MAGMA_HIDEOUT_9	magma_grunt_m
TRAINER_GRUNT_MT_CHIMNEY_1	magma_grunt_f
TRAINER_GRUNT_MT_CHIMNEY_2	magma_grunt_m
TRAINER_GRUNT_MT_PYRE_1	aqua_grunt_m
TRAINER_GRUNT_MT_PYRE_2	aqua_grunt_m
TRAINER_GRUNT_MT_PYRE_3	aqua_grunt_m
TRAINER_GRUNT_MT_PYRE_4	aqua_grunt_f
TRAINER_GRUNT_MUSEUM_1	aqua_grunt_m
TRAINER_GRUNT_MUSEUM_2	aqua_grunt_m
TRAINER_GRUNT_PETALBURG_WOODS	aqua_grunt_m
TRAINER_GRUNT_RUSTURF_TUNNEL	aqua_grunt_m
TRAINER_GRUNT_SEAFLOOR_CAVERN_1	aqua_grunt_m
TRAINER_GRUNT_SEAFLOOR_CAVERN_2	aqua_grunt_m
TRAINER_GRUNT_SEAFLOOR_CAVERN_3	aqua_grunt_m
TRAINER_GRUNT_SEAFLOOR_CAVERN_4	aqua_grunt_f
TRAINER_GRUNT_SEAFLOOR_CAVERN_5	aqua_grunt_m
TRAINER_GRUNT_SPACE_CENTER_1	magma_grunt_m
TRAINER_GRUNT_SPACE_CENTER_2	magma_grunt_m
TRAINER_GRUNT_SPACE_CENTER_3	magma_grunt_f
TRAINER_GRUNT_SPACE_CENTER_4	magma_grunt_m
TRAINER_GRUNT_SPACE_CENTER_5	magma_grunt_m
TRAINER_GRUNT_SPACE_CENTER_6	magma_grunt_m
TRAINER_GRUNT_SPACE_CENTER_7	magma_grunt_m
TRAINER_GRUNT_UNUSED	aqua_grunt_f
TRAINER_GRUNT_WEATHER_INST_1	aqua_grunt_m
TRAINER_GRUNT_WEATHER_INST_2	aqua_grunt_m
TRAINER_GRUNT_WEATHER_INST_3	aqua_grunt_m
TRAINER_GRUNT_WEATHER_INST_4	aqua_grunt_f
TRAINER_GRUNT_WEATHER_INST_5	aqua_grunt_f
TRAINER_GWEN	tuber_f
TRAINER_HAILEY	tuber_f
TRAINER_HALEY_1	lass
TRAINER_HALEY_2	lass
TRAINER_HALEY_3	lass
TRAINER_HALEY_4	lass
TRAINER_HALEY_5	lass
TRAINER_HALLE	cooltrainer_f
TRAINER_HANNAH	psychic_f
TRAINER_HARRISON	swimmer_m
TRAINER_HAYDEN	kindler
TRAINER_HECTOR	collector
TRAINER_HEIDI	picnicker
TRAINER_HELENE	battle_girl
TRAINER_HENRY	fisherman
TRAINER_HERMAN	swimmer_m
TRAINER_HIDEO	ninja_boy
TRAINER_HITOSHI	black_belt
TRAINER_HOPE	cooltrainer_f
TRAINER_HUDSON	sailor
TRAINER_HUEY	sailor
TRAINER_HUGH	bird_keeper
TRAINER_HUMBERTO	bird_keeper
TRAINER_IMANI	swimmer_f
TRAINER_IRENE	picnicker
TRAINER_ISAAC_1	pokemon_breeder_m
TRAINER_ISAAC_2	pokemon_breeder_m
TRAINER_ISAAC_3	pokemon_breeder_m
TRAINER_ISAAC_4	pokemon_breeder_m
TRAINER_ISAAC_5	pokemon_breeder_m
TRAINER_ISABELLA	swimming_triathlete_f
TRAINER_ISABELLE	swimmer_f
TRAINER_ISABEL_1	pokefan_f
TRAINER_ISABEL_2	pokefan_f
TRAINER_ISABEL_3	pokefan_f
TRAINER_ISABEL_4	pokefan_f
TRAINER_ISABEL_5	pokefan_f
TRAINER_ISAIAH_1	swimming_triathlete_m
TRAINER_ISAIAH_2	swimming_triathlete_m
TRAINER_ISAIAH_3	swimming_triathlete_m
TRAINER_ISAIAH_4	swimming_triathlete_m
TRAINER_ISAIAH_5	swimming_triathlete_m
TRAINER_ISOBEL	swimming_triathlete_f
TRAINER_IVAN	fisherman
TRAINER_JACE	kindler
TRAINER_JACK	swimmer_m
TRAINER_JACKI_1	psychic_f
TRAINER_JACKI_2	psychic_f
TRAINER_JACKI_3	psychic_f
TRAINER_JACKI_4	psychic_f
TRAINER_JACKI_5	psychic_f
TRAINER_JACKSON_1	pokemon_ranger_m
TRAINER_JACKSON_2	pokemon_ranger_m
TRAINER_JACKSON_3	pokemon_ranger_m
TRAINER_JACKSON_4	pokemon_ranger_m
TRAINER_JACKSON_5	pokemon_ranger_m
TRAINER_JACLYN	psychic_f
TRAINER_JACOB	cycling_triathlete_m
TRAINER_JAIDEN	ninja_boy
TRAINER_JAMES_1	bug_catcher
TRAINER_JAMES_2	bug_catcher
TRAINER_JAMES_3	bug_catcher
TRAINER_JAMES_4	bug_catcher
TRAINER_JAMES_5	bug_catcher
TRAINER_JANI	tuber_f
TRAINER_JANICE	lass
TRAINER_JARED	bird_keeper
TRAINER_JASMINE	cycling_triathlete_f
TRAINER_JAYLEN	youngster
TRAINER_JAZMYN	cooltrainer_f
TRAINER_JEFF	kindler
TRAINER_JEFFREY_1	bug_maniac
TRAINER_JEFFREY_2	bug_maniac
TRAINER_JEFFREY_3	bug_maniac
TRAINER_JEFFREY_4	bug_maniac
TRAINER_JEFFREY_5	bug_maniac
TRAINER_JENNA	pokemon_ranger_f
TRAINER_JENNIFER	cooltrainer_f
TRAINER_JENNY_1	swimmer_f
TRAINER_JENNY_2	swimmer_f
TRAINER_JENNY_3	swimmer_f
TRAINER_JENNY_4	swimmer_f
TRAINER_JENNY_5	swimmer_f
TRAINER_JEROME	swimmer_m
TRAINER_JERRY_1	school_kid_m
TRAINER_JERRY_2	school_kid_m
TRAINER_JERRY_3	school_kid_m
TRAINER_JERRY_4	school_kid_m
TRAINER_JERRY_5	school_kid_m
TRAINER_JESSICA_1	beauty
TRAINER_JESSICA_2	beauty
TRAINER_JESSICA_3	beauty
TRAINER_JESSICA_4	beauty
TRAINER_JESSICA_5	beauty
TRAINER_JOCELYN	battle_girl
TRAINER_JODY	cooltrainer_f
TRAINER_JOEY	youngster
TRAINER_JOHANNA	beauty
TRAINER_JOHNSON	youngster
TRAINER_JOHN_AND_JAY_1	old_couple
TRAINER_JOHN_AND_JAY_2	old_couple
TRAINER_JOHN_AND_JAY_3	old_couple
TRAINER_JOHN_AND_JAY_4	old_couple
TRAINER_JOHN_AND_JAY_5	old_couple
TRAINER_JONAH	fisherman
TRAINER_JONAS	ninja_boy
TRAINER_JONATHAN	cooltrainer_m
TRAINER_JOSE	bug_catcher
TRAINER_JOSEPH	guitarist
TRAINER_JOSH	youngster
TRAINER_JOSHUA	psychic_m
TRAINER_JOSUE	bird_keeper
TRAINER_JUAN_1	leader_juan
TRAINER_JUAN_2	leader_juan
TRAINER_JUAN_3	leader_juan
TRAINER_JUAN_4	leader_juan
TRAINER_JUAN_5	leader_juan
TRAINER_JULIE	cooltrainer_f
TRAINER_JULIO	cycling_triathlete_m
TRAINER_JUSTIN	camper
TRAINER_KAI	fisherman
TRAINER_KALEB	pokefan_m
TRAINER_KARA	swimmer_f
TRAINER_KAREN_1	school_kid_f
TRAINER_KAREN_2	school_kid_f
TRAINER_KAREN_3	school_kid_f
TRAINER_KAREN_4	school_kid_f
TRAINER_KAREN_5	school_kid_f
TRAINER_KATELYNN	cooltrainer_f
TRAINER_KATELYN_1	swimming_triathlete_f
TRAINER_KATELYN_2	swimming_triathlete_f
TRAINER_KATELYN_3	swimming_triathlete_f
TRAINER_KATELYN_4	swimming_triathlete_f
TRAINER_KATELYN_5	swimming_triathlete_f
TRAINER_KATE_AND_JOY	sr_and_jr
TRAINER_KATHLEEN	hex_maniac
TRAINER_KATIE	swimmer_f
TRAINER_KAYLA	psychic_f
TRAINER_KAYLEE	swimmer_f
TRAINER_KAYLEY	parasol_lady
TRAINER_KEEGAN	kindler
TRAINER_KEIGO	ninja_boy
TRAINER_KEIRA	cooltrainer_f
TRAINER_KELVIN	sailor
TRAINER_KENT	bug_catcher
TRAINER_KEVIN	swimmer_m
TRAINER_KIM_AND_IRIS	sr_and_jr
TRAINER_KINDRA	hex_maniac
TRAINER_KIRA_AND_DAN_1	young_couple
TRAINER_KIRA_AND_DAN_2	young_couple
TRAINER_KIRA_AND_DAN_3	young_couple
TRAINER_KIRA_AND_DAN_4	young_couple
TRAINER_KIRA_AND_DAN_5	young_couple
TRAINER_KIRK	guitarist
TRAINER_KIYO	black_belt
TRAINER_KOICHI	black_belt
TRAINER_KOJI_1	black_belt
TRAINER_KOJI_2	black_belt
TRAINER_KOJI_3	black_belt
TRAINER_KOJI_4	black_belt
TRAINER_KOJI_5	black_belt
TRAINER_KYLA	swimmer_f
TRAINER_KYRA	running_triathlete_f
TRAINER_LAO_1	ninja_boy
TRAINER_LAO_2	ninja_boy
TRAINER_LAO_3	ninja_boy
TRAINER_LAO_4	ninja_boy
TRAINER_LAO_5	ninja_boy
TRAINER_LARRY	camper
TRAINER_LAURA	battle_girl
TRAINER_LAUREL	swimmer_f
TRAINER_LAWRENCE	camper
TRAINER_LEAF	leaf
TRAINER_LEAH	hex_maniac
TRAINER_LEA_AND_JED	young_couple
TRAINER_LENNY	hiker
TRAINER_LEONARD	sailor
TRAINER_LEONARDO	swimmer_m
TRAINER_LEONEL	cooltrainer_m
TRAINER_LEROY	cooltrainer_m
TRAINER_LILA_AND_ROY_1	sis_and_bro
TRAINER_LILA_AND_ROY_2	sis_and_bro
TRAINER_LILA_AND_ROY_3	sis_and_bro
TRAINER_LILA_AND_ROY_4	sis_and_bro
TRAINER_LILA_AND_ROY_5	sis_and_bro
TRAINER_LILITH	battle_girl
TRAINER_LINDA	swimmer_f
TRAINER_LISA_AND_RAY	sis_and_bro
TRAINER_LOLA_1	tuber_f
TRAINER_LOLA_2	tuber_f
TRAINER_LOLA_3	tuber_f
TRAINER_LOLA_4	tuber_f
TRAINER_LOLA_5	tuber_f
TRAINER_LORENZO	pokemon_ranger_m
TRAINER_LUCAS_1	hiker
TRAINER_LUCAS_2	hiker
TRAINER_LUCY	pike_queen_lucy
TRAINER_LUIS	swimmer_m
TRAINER_LUNG	ninja_boy
TRAINER_LYDIA_1	pokemon_breeder_f
TRAINER_LYDIA_2	pokemon_breeder_f
TRAINER_LYDIA_3	pokemon_breeder_f
TRAINER_LYDIA_4	pokemon_breeder_f
TRAINER_LYDIA_5	pokemon_breeder_f
TRAINER_LYLE	bug_catcher
TRAINER_MACEY	psychic_f
TRAINER_MADELINE_1	parasol_lady
TRAINER_MADELINE_2	parasol_lady
TRAINER_MADELINE_3	parasol_lady
TRAINER_MADELINE_4	parasol_lady
TRAINER_MADELINE_5	parasol_lady
TRAINER_MAKAYLA	expert_f
TRAINER_MARC	hiker
TRAINER_MARCEL	cooltrainer_m
TRAINER_MARCOS	guitarist
TRAINER_MARIA_1	running_triathlete_f
TRAINER_MARIA_2	running_triathlete_f
TRAINER_MARIA_3	running_triathlete_f
TRAINER_MARIA_4	running_triathlete_f
TRAINER_MARIA_5	running_triathlete_f
TRAINER_MARIELA	psychic_f
TRAINER_MARK	pokemaniac
TRAINER_MARLENE	psychic_f
TRAINER_MARLEY	cooltrainer_f
TRAINER_MARTHA	picnicker
TRAINER_MARY	cooltrainer_f
TRAINER_MATT	aqua_admin_m
TRAINER_MATTHEW	swimmer_m
TRAINER_MAURA	psychic_f
TRAINER_MAXIE_MAGMA_HIDEOUT	magma_leader_maxie
TRAINER_MAXIE_MOSSDEEP	magma_leader_maxie
TRAINER_MAXIE_MT_CHIMNEY	magma_leader_maxie
TRAINER_MAY_LILYCOVE_MUDKIP	may
TRAINER_MAY_LILYCOVE_TORCHIC	may
TRAINER_MAY_LILYCOVE_TREECKO	may
TRAINER_MAY_PLACEHOLDER	rs_may
TRAINER_MAY_ROUTE_103_MUDKIP	may
TRAINER_MAY_ROUTE_103_TORCHIC	may
TRAINER_MAY_ROUTE_103_TREECKO	may
TRAINER_MAY_ROUTE_110_MUDKIP	may
TRAINER_MAY_ROUTE_110_TORCHIC	may
TRAINER_MAY_ROUTE_110_TREECKO	may
TRAINER_MAY_ROUTE_119_MUDKIP	may
TRAINER_MAY_ROUTE_119_TORCHIC	may
TRAINER_MAY_ROUTE_119_TREECKO	may
TRAINER_MAY_RUSTBORO_MUDKIP	may
TRAINER_MAY_RUSTBORO_TORCHIC	may
TRAINER_MAY_RUSTBORO_TREECKO	may
TRAINER_MELINA	running_triathlete_f
TRAINER_MELISSA	beauty
TRAINER_MEL_AND_PAUL	young_couple
TRAINER_MICAH	gentleman
TRAINER_MICHELLE	cooltrainer_f
TRAINER_MIGUEL_1	pokefan_m
TRAINER_MIGUEL_2	pokefan_m
TRAINER_MIGUEL_3	pokefan_m
TRAINER_MIGUEL_4	pokefan_m
TRAINER_MIGUEL_5	pokefan_m
TRAINER_MIKE_1	hiker
TRAINER_MIKE_2	hiker
TRAINER_MISSY	swimmer_f
TRAINER_MITCHELL	cooltrainer_m
TRAINER_MIU_AND_YUKI	twins
TRAINER_MOLLIE	expert_f
TRAINER_MYLES	pokemon_breeder_m
TRAINER_NANCY	picnicker
TRAINER_NAOMI	lady
TRAINER_NATE	gentleman
TRAINER_NED	fisherman
TRAINER_NICHOLAS	psychic_m
TRAINER_NICOLAS_1	dragon_tamer
TRAINER_NICOLAS_2	dragon_tamer
TRAINER_NICOLAS_3	dragon_tamer
TRAINER_NICOLAS_4	dragon_tamer
TRAINER_NICOLAS_5	dragon_tamer
TRAINER_NIKKI	swimmer_f
TRAINER_NOB_1	black_belt
TRAINER_NOB_2	black_belt
TRAINER_NOB_3	black_belt
TRAINER_NOB_4	black_belt
TRAINER_NOB_5	black_belt
TRAINER_NOLAN	fisherman
TRAINER_NOLAND	factory_head_noland
TRAINER_NOLEN	swimmer_m
TRAINER_NONE	hiker
