TRAINER_AARON	BAGON:34
TRAINER_BRAWLY_4	HITMONCHAN:40,MACHAMP:43,MEDICHAM:43,HITMONTOP:45,HARIYAMA:47
TRAINER_BRAWLY_5	HITMONLEE:46,HITMONCHAN:46,MACHAMP:48,MEDICHAM:48,HITMONTOP:50,HARIYAMA:52
TRAINER_BRAXTON	SWELLOW:28,TRAPINCH:28,WAILMER:28,MAGNETON:28,SHIFTRY:28
TRAINER_BRENDA	GOLDEEN:34
TRAINER_BRENDAN_LILYCOVE_MUDKIP	TROPIUS:31,SLUGMA:32,PELIPPER:32,GROVYLE:34
TRAINER_BRENDAN_LILYCOVE_TORCHIC	TROPIUS:31,LUDICOLO:32,SLUGMA:32,MARSHTOMP:34
TRAINER_BRENDAN_LILYCOVE_TREECKO	TROPIUS:31,PELIPPER:32,LUDICOLO:32,COMBUSKEN:34
TRAINER_BRENDAN_PLACEHOLDER	GROUDON:5
TRAINER_BRENDAN_ROUTE_103_MUDKIP	TREECKO:5
TRAINER_BRENDAN_ROUTE_103_TORCHIC	MUDKIP:5
TRAINER_BRENDAN_ROUTE_103_TREECKO	TORCHIC:5
TRAINER_BRENDAN_ROUTE_110_MUDKIP	SLUGMA:18,WINGULL:18,GROVYLE:20
TRAINER_BRENDAN_ROUTE_110_TORCHIC	LOMBRE:18,SLUGMA:18,MARSHTOMP:20
TRAINER_BRENDAN_ROUTE_110_TREECKO	WINGULL:18,LOMBRE:18,COMBUSKEN:20
TRAINER_BRENDAN_ROUTE_119_MUDKIP	SLUGMA:29,PELIPPER:29,GROVYLE:31
TRAINER_BRENDAN_ROUTE_119_TORCHIC	LOMBRE:29,SLUGMA:29,MARSHTOMP:31
TRAINER_BRENDAN_ROUTE_119_TREECKO	PELIPPER:29,LOMBRE:29,COMBUSKEN:31
TRAINER_BRENDAN_RUSTBORO_MUDKIP	WINGULL:13,TREECKO:15
TRAINER_BRENDAN_RUSTBORO_TORCHIC	SLUGMA:13,MUDKIP:15
TRAINER_BRENDAN_RUSTBORO_TREECKO	LOTAD:13,TORCHIC:15
TRAINER_BRENDEN	MACHOP:13
TRAINER_BRENT	SURSKIT:26
TRAINER_BRIANNA	SEAKING:40
TRAINER_BRICE	NUMEL:17,MACHOP:17
TRAINER_BRIDGET	AZUMARILL:40
TRAINER_BROOKE_1	WINGULL:17,NUMEL:17,ROSELIA:17
TRAINER_BROOKE_2	WINGULL:26,NUMEL:26,ROSELIA:26
TRAINER_BROOKE_3	PELIPPER:29,NUMEL:29,ROSELIA:29
TRAINER_BROOKE_4	PELIPPER:32,NUMEL:32,ROSELIA:32
TRAINER_BROOKE_5	PELIPPER:34,CAMERUPT:34,ROSELIA:34
TRAINER_BRYAN	SANDSHREW:22,SANDSLASH:22
TRAINER_BRYANT	NUMEL:18,SLUGMA:18
TRAINER_CALE	DUSTOX:29,BEAUTIFLY:29
TRAINER_CALLIE	MEDITITE:28,MAKUHITA:28
TRAINER_CALVIN_1	POOCHYENA:5
TRAINER_CALVIN_2	MIGHTYENA:27
TRAINER_CALVIN_3	SWELLOW:28,MIGHTYENA:30
TRAINER_CALVIN_4	SWELLOW:31,LINOONE:29,MIGHTYENA:33
TRAINER_CALVIN_5	SWELLOW:34,LINOONE:32,MIGHTYENA:36
TRAINER_CAMDEN	STARYU:33,STARYU:33
TRAINER_CAMERON_1	SOLROCK:31
TRAINER_CAMERON_2	KADABRA:33,SOLROCK:33
TRAINER_CAMERON_3	KADABRA:38,SOLROCK:38
TRAINER_CAMERON_4	KADABRA:41,SOLROCK:41
TRAINER_CAMERON_5	SOLROCK:45,ALAKAZAM:45
TRAINER_CAMRON	STARYU:26
TRAINER_CARLEE	SEAKING:35
TRAINER_CAROL	TAILLOW:17,LOMBRE:17
TRAINER_CAROLINA	MANECTRIC:24,SWELLOW:24,MANECTRIC:24
TRAINER_CAROLINE	SKARMORY:43,SABLEYE:43
TRAINER_CARTER	WAILMER:25,TENTACRUEL:25
TRAINER_CATHERINE_1	GLOOM:26,ROSELIA:26
TRAINER_CATHERINE_2	GLOOM:30,ROSELIA:30
TRAINER_CATHERINE_3	GLOOM:33,ROSELIA:33
TRAINER_CATHERINE_4	GLOOM:36,ROSELIA:36
TRAINER_CATHERINE_5	BELLOSSOM:39,ROSELIA:39
TRAINER_CEDRIC	WOBBUFFET:32
TRAINER_CELIA	MARILL:22,LOMBRE:22
TRAINER_CELINA	ROSELIA:18
TRAINER_CHAD	TENTACOOL:33,WAILMER:33
TRAINER_CHANDLER	TENTACOOL:12,TENTACOOL:12
TRAINER_CHARLIE	MARILL:26
TRAINER_CHARLOTTE	NUZLEAF:19
TRAINER_CHASE	WINGULL:26,STARYU:34
TRAINER_CHESTER	TAILLOW:25,SWELLOW:25
TRAINER_CHIP	BALTOY:27,SANDSHREW:27,SANDSLASH:27
TRAINER_CHRIS	MAGIKARP:29,TENTACOOL:20,FEEBAS:26,CARVANHA:23
TRAINER_CINDY_1	ZIGZAGOON:7
TRAINER_CINDY_2	ZIGZAGOON:11
TRAINER_CINDY_3	LINOONE:27
TRAINER_CINDY_4	LINOONE:30
TRAINER_CINDY_5	LINOONE:33
TRAINER_CINDY_6	LINOONE:36
TRAINER_CLARENCE	SHARPEDO:34
TRAINER_CLARISSA	ROSELIA:28,WAILMER:28
TRAINER_CLARK	GEODUDE:8
TRAINER_CLAUDE	MAGIKARP:16,GOLDEEN:17,BARBOACH:18
TRAINER_CLIFFORD	GIRAFARIG:36
TRAINER_COBY	SKARMORY:17,SWELLOW:19
TRAINER_COLE	NUMEL:23
TRAINER_COLIN	WINGULL:28,NATU:28
TRAINER_COLTON	SKITTY:22,SKITTY:36,SKITTY:40,SKITTY:12,SKITTY:30,DELCATTY:42
TRAINER_CONNIE	GOLDEEN:40
TRAINER_CONOR	CHINCHOU:33,HARIYAMA:33
TRAINER_CORA	MEDITITE:27
TRAINER_CORY_1	WINGULL:24,MACHOP:24,TENTACOOL:24
TRAINER_CORY_2	WINGULL:30,MACHOP:30,TENTACOOL:30
TRAINER_CORY_3	PELIPPER:32,MACHOP:32,TENTACOOL:32
TRAINER_CORY_4	PELIPPER:34,MACHOP:34,TENTACRUEL:34
TRAINER_CORY_5	PELIPPER:36,MACHOKE:36,TENTACRUEL:36
TRAINER_CRISSY	GOLDEEN:39,WAILMER:39
TRAINER_CRISTIAN	MAKUHITA:13
TRAINER_CRISTIN_1	LOUDRED:29,VIGOROTH:29
TRAINER_CRISTIN_2	LOUDRED:35,VIGOROTH:35
TRAINER_CRISTIN_3	SPINDA:37,LOUDRED:37,VIGOROTH:37
TRAINER_CRISTIN_4	SPINDA:39,LOUDRED:39,VIGOROTH:39
TRAINER_CRISTIN_5	SPINDA:41,EXPLOUD:41,SLAKING:41
TRAINER_CYNDY_1	MEDITITE:18,MAKUHITA:18
TRAINER_CYNDY_2	MEDITITE:26,MAKUHITA:26
TRAINER_CYNDY_3	MEDITITE:29,MAKUHITA:29
TRAINER_CYNDY_4	MEDICHAM:32,HARIYAMA:32
TRAINER_CYNDY_5	MEDICHAM:35,HARIYAMA:35
TRAINER_DAISUKE	MACHOP:19
TRAINER_DAISY	SHROOMISH:14,ROSELIA:14
TRAINER_DALE	TENTACOOL:11,WAILMER:14,TENTACOOL:11,WAILMER:14
TRAINER_DALTON_1	MAGNEMITE:15,WHISMUR:15
TRAINER_DALTON_2	MAGNEMITE:25,WHISMUR:25,MAGNEMITE:25
TRAINER_DALTON_3	MAGNEMITE:28,LOUDRED:28,MAGNEMITE:28
TRAINER_DALTON_4	MAGNETON:31,LOUDRED:31,MAGNETON:31
TRAINER_DALTON_5	MAGNETON:34,EXPLOUD:34,MAGNETON:34
TRAINER_DANA	AZUMARILL:34
TRAINER_DANIELLE	MEDITITE:23
TRAINER_DAPHNE	LUVDISC:39,LUVDISC:39
TRAINER_DARCY	PELIPPER:33,CAMERUPT:33
TRAINER_DARIAN	MAGIKARP:9
TRAINER_DARIUS	TROPIUS:30
TRAINER_DARRIN	TENTACOOL:24,WINGULL:24,TENTACOOL:24
TRAINER_DAVID	TENTACOOL:25,CARVANHA:25
TRAINER_DAVIS	PINSIR:27
TRAINER_DAWSON	ZIGZAGOON:8,POOCHYENA:8
TRAINER_DAYTON	SLUGMA:25,NUMEL:25
TRAINER_DEAN	CARVANHA:31,WINGULL:31,CARVANHA:31
TRAINER_DEANDRE	ZIGZAGOON:14,ARON:14,ELECTRIKE:14
TRAINER_DEBRA	SEAKING:34
TRAINER_DECLAN	GYARADOS:34
TRAINER_DEMETRIUS	ZIGZAGOON:25,ELECTRIKE:25
TRAINER_DENISE	WINGULL:25,GOLDEEN:25
TRAINER_DEREK	DUSTOX:16,BEAUTIFLY:16
TRAINER_DEVAN	GEODUDE:8,GEODUDE:8
TRAINER_DEZ_AND_LUKE	DELCATTY:31,MANECTRIC:31
TRAINER_DIANA_1	SHROOMISH:19,ODDISH:19,SWABLU:19
TRAINER_DIANA_2	SHROOMISH:25,GLOOM:25,SWABLU:25
TRAINER_DIANA_3	BRELOOM:28,GLOOM:28,SWABLU:28
TRAINER_DIANA_4	BRELOOM:31,GLOOM:31,SWABLU:31
TRAINER_DIANA_5	BRELOOM:40,VILEPLUME:40,ALTARIA:40
TRAINER_DIANNE	CLAYDOL:43,LANTURN:43
TRAINER_DILLON	ARON:19
TRAINER_DOMINIK	TENTACOOL:26
TRAINER_DONALD	WURMPLE:24,SILCOON:24,BEAUTIFLY:24
TRAINER_DONNY	WINGULL:26,STARYU:34
TRAINER_DOUG	NINCADA:28,NINJASK:28
TRAINER_DOUGLAS	TENTACOOL:24,TENTACOOL:24
TRAINER_DRAKE	SHELGON:52,ALTARIA:54,KINGDRA:53,FLYGON:53,SALAMENCE:55
TRAINER_DREW	SANDSHREW:23
TRAINER_DUDLEY	TENTACOOL:33,WINGULL:33,TENTACRUEL:33
TRAINER_DUNCAN	SPHEAL:25,MACHOKE:25
TRAINER_DUSTY_1	SANDSLASH:23
TRAINER_DUSTY_2	SANDSLASH:27
TRAINER_DUSTY_3	SANDSLASH:30
TRAINER_DUSTY_4	SANDSLASH:33
TRAINER_DUSTY_5	SANDSLASH:36
TRAINER_DWAYNE	WINGULL:11,MACHOP:11,TENTACOOL:11
TRAINER_DYLAN_1	DODUO:17
TRAINER_DYLAN_2	DODUO:28
TRAINER_DYLAN_3	DODUO:31
TRAINER_DYLAN_4	DODRIO:34
TRAINER_DYLAN_5	DODRIO:37
TRAINER_ED	ZANGOOSE:30,SEVIPER:30
TRAINER_EDDIE	ZIGZAGOON:14,ZIGZAGOON:16
TRAINER_EDGAR	CACTURNE:43,PELIPPER:43
TRAINER_EDMOND	WINGULL:13
TRAINER_EDWARD	ABRA:15
TRAINER_EDWARDO	DODUO:29,PELIPPER:29
TRAINER_EDWIN_1	LOMBRE:14,NUZLEAF:14
TRAINER_EDWIN_2	LOMBRE:26,NUZLEAF:26
TRAINER_EDWIN_3	LOMBRE:29,NUZLEAF:29
TRAINER_EDWIN_4	LOMBRE:32,NUZLEAF:32
TRAINER_EDWIN_5	LUDICOLO:35,SHIFTRY:35
TRAINER_ELI	NUMEL:23
TRAINER_ELIJAH	SKARMORY:25,SKARMORY:25
TRAINER_ELLIOT_1	MAGIKARP:10,TENTACOOL:7,MAGIKARP:10
TRAINER_ELLIOT_2	TENTACOOL:24,GYARADOS:27,GYARADOS:27
TRAINER_ELLIOT_3	GYARADOS:29,CARVANHA:26,TENTACOOL:26,GYARADOS:29
TRAINER_ELLIOT_4	GYARADOS:31,CARVANHA:30,TENTACRUEL:30,GYARADOS:31
TRAINER_ELLIOT_5	GYARADOS:33,SHARPEDO:33,GYARADOS:33,TENTACRUEL:35
TRAINER_ERIC	GEODUDE:20,BALTOY:20
TRAINER_ERNEST_1	WINGULL:33,MACHOKE:33
TRAINER_ERNEST_2	WINGULL:36,TENTACOOL:36,MACHOKE:36
TRAINER_ERNEST_3	PELIPPER:39,TENTACOOL:39,MACHOKE:39
TRAINER_ERNEST_4	PELIPPER:42,TENTACOOL:42,MACHOKE:42
TRAINER_ERNEST_5	PELIPPER:45,MACHOKE:45,TENTACRUEL:45
TRAINER_ETHAN_1	ZIGZAGOON:20,TAILLOW:20
TRAINER_ETHAN_2	ZIGZAGOON:26,TAILLOW:26
TRAINER_ETHAN_3	LINOONE:29,SWELLOW:29
TRAINER_ETHAN_4	SANDSHREW:31,SWELLOW:31,LINOONE:31
TRAINER_ETHAN_5	SWELLOW:34,SANDSLASH:34,LINOONE:34
TRAINER_EVERETT	WOBBUFFET:41
TRAINER_FABIAN	MANECTRIC:26
TRAINER_FELIX	MEDICHAM:43,CLAYDOL:43
TRAINER_FERNANDO_1	ELECTRIKE:30,LOUDRED:30
TRAINER_FERNANDO_2	ELECTRIKE:35,ELECTRIKE:35,LOUDRED:35
TRAINER_FERNANDO_3	ELECTRIKE:37,MANECTRIC:37,LOUDRED:37
TRAINER_FERNANDO_4	MANECTRIC:39,MANECTRIC:39,LOUDRED:39
TRAINER_FERNANDO_5	MANECTRIC:41,MANECTRIC:41,EXPLOUD:41
TRAINER_FLANNERY_1	NUMEL:24,SLUGMA:24,CAMERUPT:26,TORKOAL:29
TRAINER_FLANNERY_2	MAGCARGO:38,PONYTA:36,CAMERUPT:38,TORKOAL:40
TRAINER_FLANNERY_3	GROWLITHE:41,MAGCARGO:43,PONYTA:41,CAMERUPT:43,TORKOAL:45
TRAINER_FLANNERY_4	HOUNDOUR:46,GROWLITHE:46,MAGCARGO:48,RAPIDASH:46,CAMERUPT:48,TORKOAL:50
TRAINER_FLANNERY_5	ARCANINE:51,MAGCARGO:53,HOUNDOOM:51,RAPIDASH:51,CAMERUPT:53,TORKOAL:55
TRAINER_FLINT	SWELLOW:29,XATU:29
TRAINER_FOSTER	SANDSHREW:25,SANDSLASH:25
TRAINER_FRANKLIN	SEALEO:34
TRAINER_FREDRICK	MAKUHITA:30,MACHOKE:30
TRAINER_GABBY_AND_TY_1	MAGNEMITE:17,WHISMUR:17
TRAINER_GABBY_AND_TY_2	MAGNEMITE:27,LOUDRED:27
TRAINER_GABBY_AND_TY_3	MAGNETON:30,LOUDRED:30
TRAINER_GABBY_AND_TY_4	MAGNETON:33,LOUDRED:33
TRAINER_GABBY_AND_TY_5	MAGNETON:36,LOUDRED:36
TRAINER_GABBY_AND_TY_6	MAGNETON:39,EXPLOUD:39
TRAINER_GABRIELLE_1	SKITTY:26,POOCHYENA:26,ZIGZAGOON:26,LOTAD:26,SEEDOT:26,TAILLOW:26
TRAINER_GABRIELLE_2	SKITTY:31,MIGHTYENA:31,ZIGZAGOON:31,LOTAD:31,SEEDOT:31,TAILLOW:31
TRAINER_GABRIELLE_3	SKITTY:33,MIGHTYENA:33,LINOONE:33,LOMBRE:33,NUZLEAF:33,TAILLOW:33
TRAINER_GABRIELLE_4	DELCATTY:35,MIGHTYENA:35,LINOONE:35,LOMBRE:35,NUZLEAF:35,SWELLOW:35
TRAINER_GABRIELLE_5	DELCATTY:37,MIGHTYENA:37,LINOONE:37,LUDICOLO:37,SHIFTRY:37,SWELLOW:37
TRAINER_GARRET	AZUMARILL:45
TRAINER_GARRISON	SANDSLASH:26
TRAINER_GEORGE	SLAKOTH:26
TRAINER_GEORGIA	SHROOMISH:16,BEAUTIFLY:16
TRAINER_GERALD	KECLEON:23
TRAINER_GILBERT	SHARPEDO:34
TRAINER_GINA_AND_MIA_1	SEEDOT:6,LOTAD:6
TRAINER_GINA_AND_MIA_2	DUSKULL:10,SHROOMISH:10
TRAINER_GLACIA	SEALEO:50,GLALIE:50,SEALEO:52,GLALIE:52,WALREIN:53
TRAINER_GRACE	MARILL:34
TRAINER_GREG	VOLBEAT:25,ILLUMISE:25
TRAINER_GRETA	BELDUM:5
TRAINER_GRUNT_AQUA_HIDEOUT_1	POOCHYENA:32
TRAINER_GRUNT_AQUA_HIDEOUT_2	ZUBAT:31,CARVANHA:31
TRAINER_GRUNT_AQUA_HIDEOUT_3	ZUBAT:32
TRAINER_GRUNT_AQUA_HIDEOUT_4	CARVANHA:32
TRAINER_GRUNT_AQUA_HIDEOUT_5	CARVANHA:32
TRAINER_GRUNT_AQUA_HIDEOUT_6	ZUBAT:32
TRAINER_GRUNT_AQUA_HIDEOUT_7	POOCHYENA:31,ZUBAT:31
TRAINER_GRUNT_AQUA_HIDEOUT_8	CARVANHA:32
TRAINER_GRUNT_JAGGED_PASS	POOCHYENA:22,NUMEL:22
TRAINER_GRUNT_MAGMA_HIDEOUT_1	ZUBAT:29
TRAINER_GRUNT_MAGMA_HIDEOUT_10	MIGHTYENA:29
TRAINER_GRUNT_MAGMA_HIDEOUT_11	BALTOY:29
TRAINER_GRUNT_MAGMA_HIDEOUT_12	NUMEL:29
TRAINER_GRUNT_MAGMA_HIDEOUT_13	ZUBAT:29
TRAINER_GRUNT_MAGMA_HIDEOUT_14	MIGHTYENA:29
TRAINER_GRUNT_MAGMA_HIDEOUT_15	NUMEL:29
TRAINER_GRUNT_MAGMA_HIDEOUT_16	BALTOY:29
TRAINER_GRUNT_MAGMA_HIDEOUT_2	POOCHYENA:29
TRAINER_GRUNT_MAGMA_HIDEOUT_3	NUMEL:29
TRAINER_GRUNT_MAGMA_HIDEOUT_4	BALTOY:28,ZUBAT:28
TRAINER_GRUNT_MAGMA_HIDEOUT_5	BALTOY:28,NUMEL:28
TRAINER_GRUNT_MAGMA_HIDEOUT_6	MIGHTYENA:29
TRAINER_GRUNT_MAGMA_HIDEOUT_7	ZUBAT:29
TRAINER_GRUNT_MAGMA_HIDEOUT_8	POOCHYENA:29
TRAINER_GRUNT_MAGMA_HIDEOUT_9	ZUBAT:29
TRAINER_GRUNT_MT_CHIMNEY_1	NUMEL:20
TRAINER_GRUNT_MT_CHIMNEY_2	ZUBAT:20
TRAINER_GRUNT_MT_PYRE_1	ZUBAT:32
TRAINER_GRUNT_MT_PYRE_2	CARVANHA:32
TRAINER_GRUNT_MT_PYRE_3	POOCHYENA:30,CARVANHA:30
TRAINER_GRUNT_MT_PYRE_4	WAILMER:30,ZUBAT:30
TRAINER_GRUNT_MUSEUM_1	CARVANHA:15
TRAINER_GRUNT_MUSEUM_2	ZUBAT:14,CARVANHA:14
TRAINER_GRUNT_PETALBURG_WOODS	POOCHYENA:9
TRAINER_GRUNT_RUSTURF_TUNNEL	POOCHYENA:11
TRAINER_GRUNT_SEAFLOOR_CAVERN_1	POOCHYENA:36
TRAINER_GRUNT_SEAFLOOR_CAVERN_2	CARVANHA:36
TRAINER_GRUNT_SEAFLOOR_CAVERN_3	ZUBAT:36
TRAINER_GRUNT_SEAFLOOR_CAVERN_4	CARVANHA:36
TRAINER_GRUNT_SEAFLOOR_CAVERN_5	MIGHTYENA:35,GOLBAT:35
TRAINER_GRUNT_SPACE_CENTER_1	NUMEL:32
TRAINER_GRUNT_SPACE_CENTER_2	MIGHTYENA:26,MIGHTYENA:28,NUMEL:30
TRAINER_GRUNT_SPACE_CENTER_3	ZUBAT:31,POOCHYENA:31
TRAINER_GRUNT_SPACE_CENTER_4	BALTOY:32
TRAINER_GRUNT_SPACE_CENTER_5	ZUBAT:32
TRAINER_GRUNT_SPACE_CENTER_6	MIGHTYENA:32
TRAINER_GRUNT_SPACE_CENTER_7	BALTOY:32
TRAINER_GRUNT_UNUSED	WAILMER:31,ZUBAT:31
TRAINER_GRUNT_WEATHER_INST_1	ZUBAT:27,POOCHYENA:27
TRAINER_GRUNT_WEATHER_INST_2	POOCHYENA:27,CARVANHA:27
TRAINER_GRUNT_WEATHER_INST_3	POOCHYENA:26,ZUBAT:26,CARVANHA:26
TRAINER_GRUNT_WEATHER_INST_4	CARVANHA:28
TRAINER_GRUNT_WEATHER_INST_5	ZUBAT:27,POOCHYENA:27
TRAINER_GWEN	MARILL:26
TRAINER_HAILEY	MARILL:13
TRAINER_HALEY_1	LOTAD:6,SHROOMISH:6
TRAINER_HALEY_2	LOMBRE:26,SHROOMISH:26
TRAINER_HALEY_3	LOMBRE:29,BRELOOM:29
TRAINER_HALEY_4	LOMBRE:32,BRELOOM:32
TRAINER_HALEY_5	SWELLOW:34,LOMBRE:34,BRELOOM:34
TRAINER_HALLE	SABLEYE:43,ABSOL:43
TRAINER_HANNAH	KIRLIA:36
TRAINER_HARRISON	TENTACRUEL:35
TRAINER_HAYDEN	NUMEL:18
TRAINER_HECTOR	ZANGOOSE:18,SEVIPER:18
TRAINER_HEIDI	SANDSHREW:22,BALTOY:22
TRAINER_HELENE	MEDITITE:26,MAKUHITA:26
TRAINER_HENRY	CARVANHA:31,TENTACRUEL:34
TRAINER_HERMAN	WINGULL:33,TENTACRUEL:33
TRAINER_HIDEO	KOFFING:25,KOFFING:25
TRAINER_HITOSHI	MACHOP:32,MACHOKE:32
TRAINER_HOPE	ROSELIA:45
TRAINER_HUDSON	WAILMER:34
TRAINER_HUEY	WINGULL:12,MACHOP:12
TRAINER_HUGH	WINGULL:25,TROPIUS:25
TRAINER_HUMBERTO	SKARMORY:30
TRAINER_IMANI	MARILL:26
TRAINER_IRENE	SHROOMISH:17,MARILL:17
TRAINER_ISAAC_1	WHISMUR:11,ZIGZAGOON:11,ARON:11,POOCHYENA:11,TAILLOW:11,MAKUHITA:11
TRAINER_ISAAC_2	LOUDRED:22,LINOONE:22,ARON:22,MIGHTYENA:22,SWELLOW:22,MAKUHITA:22
TRAINER_ISAAC_3	LOUDRED:25,LINOONE:25,ARON:25,MIGHTYENA:25,SWELLOW:25,HARIYAMA:25
TRAINER_ISAAC_4	LOUDRED:28,LINOONE:28,ARON:28,MIGHTYENA:28,SWELLOW:28,HARIYAMA:28
TRAINER_ISAAC_5	LOUDRED:31,LINOONE:31,LAIRON:31,MIGHTYENA:31,SWELLOW:31,HARIYAMA:31
TRAINER_ISABELLA	STARYU:34
TRAINER_ISABELLE	MARILL:15
TRAINER_ISABEL_1	PLUSLE:14,MINUN:14
TRAINER_ISABEL_2	PLUSLE:26,MINUN:26
TRAINER_ISABEL_3	PLUSLE:29,MINUN:29
TRAINER_ISABEL_4	PLUSLE:32,MINUN:32
TRAINER_ISABEL_5	PLUSLE:35,MINUN:35
TRAINER_ISAIAH_1	STARYU:35
TRAINER_ISAIAH_2	STARYU:39
TRAINER_ISAIAH_3	STARYU:42
TRAINER_ISAIAH_4	STARMIE:45
TRAINER_ISAIAH_5	STARMIE:48
TRAINER_ISOBEL	STARYU:34
TRAINER_IVAN	MAGIKARP:5,MAGIKARP:6,MAGIKARP:7
TRAINER_JACE	SLUGMA:23
TRAINER_JACK	GYARADOS:34
TRAINER_JACKI_1	KADABRA:30,LUNATONE:30
TRAINER_JACKI_2	KADABRA:34,LUNATONE:34
TRAINER_JACKI_3	KADABRA:37,LUNATONE:37
